period,n_workers,promotion_rate,avg_years_to_promotion,share_engine_driver,share_guard,share_missing_grade
pre_1875,10,0.5,20.0,0.3,0.0,0.6
union_peak,37,0.4864864864864865,12.5,0.02702702702702703,0.0,0.9459459459459459
union_collapse,23,0.6086956521739131,11.692307692307692,0.17391304347826086,0.0,0.782608695652174
post_collapse,65,0.7384615384615385,16.837209302325583,0.12307692307692308,0.0,0.8615384615384616
late,288,0.7256944444444444,4.662162162162162,0.2152777777777778,0.0,0.7847222222222222
